sae1,sae2,win_rate
ReLU (orig.),ReLU (new),0.5132743362831859
ReLU (orig.),Gated,0.5663716814159292
ReLU (orig.),TopK,0.5309734513274337
ReLU (orig.),Batch TopK,0.6194690265486725
ReLU (orig.),Jump ReLU,0.584070796460177
ReLU (orig.),p-anneal,0.5929203539823009
ReLU (orig.),Matryoshka,0.5575221238938053
ReLU (new),ReLU (orig.),0.48672566371681414
ReLU (new),Gated,0.5575221238938053
ReLU (new),TopK,0.49557522123893805
ReLU (new),Batch TopK,0.6017699115044248
ReLU (new),Jump ReLU,0.584070796460177
ReLU (new),p-anneal,0.6017699115044248
ReLU (new),Matryoshka,0.5575221238938053
Gated,ReLU (orig.),0.4336283185840708
Gated,ReLU (new),0.4424778761061947
Gated,TopK,0.4690265486725664
Gated,Batch TopK,0.5309734513274337
Gated,Jump ReLU,0.5309734513274337
Gated,p-anneal,0.5398230088495575
Gated,Matryoshka,0.5132743362831859
TopK,ReLU (orig.),0.4690265486725664
TopK,ReLU (new),0.504424778761062
TopK,Gated,0.5309734513274337
TopK,Batch TopK,0.5752212389380531
TopK,Jump ReLU,0.5752212389380531
TopK,p-anneal,0.5132743362831859
TopK,Matryoshka,0.504424778761062
Batch TopK,ReLU (orig.),0.3805309734513274
Batch TopK,ReLU (new),0.39823008849557523
Batch TopK,Gated,0.4690265486725664
Batch TopK,TopK,0.4247787610619469
Batch TopK,Jump ReLU,0.4690265486725664
Batch TopK,p-anneal,0.5221238938053098
Batch TopK,Matryoshka,0.4778761061946903
Jump ReLU,ReLU (orig.),0.415929203539823
Jump ReLU,ReLU (new),0.415929203539823
Jump ReLU,Gated,0.4690265486725664
Jump ReLU,TopK,0.4247787610619469
Jump ReLU,Batch TopK,0.5309734513274337
Jump ReLU,p-anneal,0.504424778761062
Jump ReLU,Matryoshka,0.4247787610619469
p-anneal,ReLU (orig.),0.40707964601769914
p-anneal,ReLU (new),0.39823008849557523
p-anneal,Gated,0.46017699115044247
p-anneal,TopK,0.48672566371681414
p-anneal,Batch TopK,0.4778761061946903
p-anneal,Jump ReLU,0.49557522123893805
p-anneal,Matryoshka,0.4336283185840708
Matryoshka,ReLU (orig.),0.4424778761061947
Matryoshka,ReLU (new),0.4424778761061947
Matryoshka,Gated,0.48672566371681414
Matryoshka,TopK,0.49557522123893805
Matryoshka,Batch TopK,0.5221238938053098
Matryoshka,Jump ReLU,0.5752212389380531
Matryoshka,p-anneal,0.5663716814159292
