test_f1,test_acc,test_auc,val_auc,k,dataset,layer,sae_id,reg_type,binarize
0.8945881127892283,0.8945911949685534,0.9544663552528054,0.9523809523809523,16,6_hist_fig_isamerican,20,layer_20/width_131k/average_l0_276,l2,False
0.9375991786881596,0.9376100628930818,0.9792436045563769,0.988795518207283,128,6_hist_fig_isamerican,20,layer_20/width_131k/average_l0_276,l2,False
0.9885329703360052,0.9885332059245103,0.9988850964514838,1.0,16,66_living-room,20,layer_20/width_16k/average_l0_408,l2,False
0.981843488379163,0.9818442427138079,0.9988284838224847,1.0,128,66_living-room,20,layer_20/width_16k/average_l0_408,l2,False
0.815051853068941,0.8153459119496855,0.888923374165476,0.8707482993197279,16,90_glue_qnli,20,layer_20/width_16k/average_l0_408,l2,False
0.8367223055573505,0.8367295597484277,0.9106566930521225,0.9139655862344938,128,90_glue_qnli,20,layer_20/width_16k/average_l0_408,l2,False
0.766634925734618,0.7672955974842768,0.8324704138266944,0.8527410964385754,16,87_glue_cola,20,layer_20/width_16k/average_l0_408,l2,False
0.750615590710292,0.7506918238993711,0.8319633452450992,0.9103641456582634,128,87_glue_cola,20,layer_20/width_16k/average_l0_408,l2,False
0.8208790067510211,0.8208805031446541,0.8938624196107697,0.8743497398959584,16,90_glue_qnli,20,layer_20/width_131k/average_l0_276,l2,False
0.8299330168663657,0.829937106918239,0.9099296331587916,0.9055622248899559,128,90_glue_qnli,20,layer_20/width_131k/average_l0_276,l2,False
0.9733313248182421,0.9733333333333334,0.989999635457435,0.9995998399359743,16,5_hist_fig_ismale,20,layer_20/width_16k/average_l0_408,l2,False
0.9796221514280441,0.979622641509434,0.9953115775680759,0.9995998399359743,128,5_hist_fig_ismale,20,layer_20/width_16k/average_l0_408,l2,False
0.9682989134210659,0.9683018867924529,0.9911326286860569,0.9967987194877952,16,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_276,l2,False
0.9750934695035344,0.9750943396226415,0.9940073252803181,0.9987995198079231,128,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_276,l2,False
0.9940229859788012,0.9940229885057471,0.9991434533795118,1.0,16,67_social-security,20,layer_20/width_16k/average_l0_408,l2,False
0.9940229859788012,0.9940229885057471,0.9996769982141891,1.0,128,67_social-security,20,layer_20/width_16k/average_l0_408,l2,False
0.6528422830231122,0.6533333333333333,0.7219865493919735,0.7426970788315326,16,7_hist_fig_ispolitician,20,layer_20/width_131k/average_l0_276,l2,False
0.6857855669357021,0.6857861635220126,0.7448745062220327,0.784313725490196,128,7_hist_fig_ispolitician,20,layer_20/width_131k/average_l0_276,l2,False
0.636979845472002,0.6369811320754717,0.6899321191365606,0.7386954781912765,16,7_hist_fig_ispolitician,20,layer_20/width_16k/average_l0_408,l2,False
0.6961006289308176,0.6961006289308176,0.7515795578706258,0.7791116446578631,128,7_hist_fig_ispolitician,20,layer_20/width_16k/average_l0_408,l2,False
0.9933108993626698,0.9933110367892977,0.9998922533835177,1.0,16,66_living-room,20,layer_20/width_131k/average_l0_276,l2,False
0.994266529668589,0.9942666029622551,0.9996219737353925,1.0,128,66_living-room,20,layer_20/width_131k/average_l0_276,l2,False
0.9797692168629029,0.9797701149425287,0.9916214013204179,1.0,16,73_control-group,20,layer_20/width_131k/average_l0_276,l2,False
0.9682758218322128,0.9682758620689655,0.9911969330050328,1.0,128,73_control-group,20,layer_20/width_131k/average_l0_276,l2,False
0.9940229859788012,0.9940229885057471,0.9996482493641432,1.0,16,67_social-security,20,layer_20/width_131k/average_l0_276,l2,False
0.9986206890720312,0.9986206896551724,0.9996490949185561,1.0,128,67_social-security,20,layer_20/width_131k/average_l0_276,l2,False
0.9285040470871202,0.9285534591194968,0.972421342346986,0.9915966386554622,16,6_hist_fig_isamerican,20,layer_20/width_16k/average_l0_408,l2,False
0.946413527503832,0.9464150943396227,0.9845497241121617,0.9971988795518207,128,6_hist_fig_isamerican,20,layer_20/width_16k/average_l0_408,l2,False
0.7691635428732169,0.769308176100629,0.8326124335342706,0.8371348539415767,16,87_glue_cola,20,layer_20/width_131k/average_l0_276,l2,False
0.7462260228397343,0.7464150943396226,0.8267815245777634,0.8683473389355743,128,87_glue_cola,20,layer_20/width_131k/average_l0_276,l2,False
0.9641372487480045,0.9641379310344828,0.9853609164456952,0.9959415584415584,16,73_control-group,20,layer_20/width_16k/average_l0_408,l2,False
0.9728731503490825,0.9728735632183908,0.9930601121543373,1.0,128,73_control-group,20,layer_20/width_16k/average_l0_408,l2,False
